seat,election_year,total_voters,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age,state
N.08 Bukit Pasir,2026,34142,0.627,0.3253,0.0413,0.2607,0.1165,0.2017,0.2581,41.0,johor
N.09 Gambir,2026,30326,0.5998,0.3569,0.0367,0.2412,0.1075,0.2053,0.234,42.0,johor
N.10 Tangkak,2026,36955,0.4116,0.4674,0.0992,0.1778,0.1433,0.1239,0.234,42.0,johor
N.11 Serom,2026,40172,0.6739,0.3091,0.0094,0.2755,0.0933,0.2234,0.236,41.0,johor
N.12 Bentayan,2026,34205,0.27,0.6999,0.0235,0.1021,0.1574,0.0908,0.1642,49.0,johor
N.13 Simpang Jeram,2026,41975,0.5201,0.4469,0.0243,0.2155,0.171,0.1617,0.251,40.0,johor
N.14 Bukit Naning,2026,23002,0.6371,0.3453,0.0091,0.2391,0.0918,0.2227,0.2099,43.0,johor
N.15 Maharani,2026,40040,0.6184,0.349,0.0213,0.2458,0.1086,0.2041,0.2292,42.0,johor
N.16 Sungai Balang,2026,31039,0.7385,0.2513,0.0016,0.2848,0.0727,0.2549,0.2274,42.0,johor
N.17 Semerah,2026,47431,0.7529,0.233,0.005,0.2915,0.0399,0.2665,0.2138,44.0,johor
N.18 Sri Medan,2026,33875,0.9003,0.0813,0.0027,0.3507,0.0221,0.3119,0.2434,41.0,johor
N.19 Yong Peng,2026,34023,0.3523,0.5676,0.0684,0.1551,0.1721,0.1043,0.2262,43.0,johor
N.20 Semarang,2026,28753,0.8628,0.1203,0.0071,0.3428,0.0338,0.2933,0.2493,41.0,johor
N.21 Parit Yaani,2026,44741,0.5522,0.4278,0.0089,0.2499,0.1736,0.1666,0.2799,39.0,johor
N.22 Parit Raja,2026,38159,0.7491,0.2255,0.0168,0.3345,0.0684,0.238,0.2705,40.0,johor
N.23 Penggaram,2026,70294,0.3656,0.6034,0.0219,0.1438,0.1827,0.1167,0.2005,44.0,johor
N.24 Senggarang,2026,38576,0.6177,0.3496,0.0066,0.256,0.1112,0.2002,0.244,41.0,johor
N.25 Rengit,2026,27608,0.8054,0.1659,0.0021,0.3027,0.0454,0.2844,0.2258,42.0,johor
N.26 Machap,2026,35206,0.6597,0.2698,0.0539,0.2851,0.0831,0.2019,0.2467,40.0,johor
N.27 Layang-Layang,2026,25181,0.5688,0.2826,0.1235,0.2311,0.0624,0.1789,0.2029,43.0,johor
N.28 Mengkibol,2026,68457,0.3033,0.5587,0.1285,0.1399,0.1572,0.0792,0.2156,44.0,johor
N.29 Mahkota,2026,67562,0.5567,0.3351,0.0765,0.2383,0.1079,0.157,0.2377,40.0,johor
N.30 Paloh,2026,25419,0.471,0.3485,0.1535,0.1719,0.0771,0.1573,0.1856,45.0,johor
N.31 Kahang,2026,29814,0.7421,0.1991,0.027,0.2771,0.048,0.2072,0.2037,41.0,johor
N.32 Endau,2026,28767,0.8015,0.1344,0.0067,0.3218,0.0424,0.2592,0.2429,40.0,johor
N.33 Tenggaroh,2026,39001,0.8344,0.1278,0.0141,0.3119,0.0276,0.2073,0.2075,40.0,johor
N.34 Panti,2026,41407,0.7775,0.1379,0.0561,0.3338,0.0495,0.2161,0.274,39.0,johor
N.35 Pasir Raja,2026,29818,0.6935,0.183,0.0832,0.3179,0.062,0.2072,0.2796,39.0,johor
N.36 Sedili,2026,29090,0.9653,0.0137,0.0065,0.3364,0.0011,0.2894,0.2105,41.0,johor
N.37 Johor Lama,2026,32716,0.8338,0.1281,0.0242,0.2843,0.0191,0.2707,0.1963,43.0,johor
N.38 Penawar,2026,31112,0.9744,0.0031,0.0072,0.3391,0.0013,0.313,0.2302,42.0,johor
N.39 Tanjung Surat,2026,26943,0.8126,0.1541,0.0074,0.3013,0.0366,0.2215,0.2401,41.0,johor
N.40 Tiram,2026,117496,0.5724,0.2446,0.1164,0.3107,0.0915,0.1354,0.3355,36.0,johor
N.41 Puteri Wangsa,2026,128723,0.363,0.5155,0.0989,0.1887,0.2309,0.0884,0.3289,37.0,johor
N.42 Johor Jaya,2026,97685,0.401,0.4553,0.0782,0.1831,0.1511,0.1139,0.2556,40.0,johor
N.43 Permas,2026,113963,0.5467,0.2643,0.1148,0.2732,0.0983,0.1397,0.302,38.0,johor
N.44 Larkin,2026,76662,0.6364,0.2675,0.0664,0.2196,0.0512,0.2336,0.1843,45.0,johor
N.45 Stulang,2026,60029,0.3884,0.5269,0.0478,0.129,0.1001,0.1449,0.1554,49.0,johor
N.46 Perling,2026,109992,0.3702,0.4695,0.1332,0.1478,0.181,0.1204,0.2676,41.0,johor
N.47 Kempas,2026,64244,0.5689,0.294,0.1084,0.2248,0.0772,0.1832,0.2196,43.0,johor
N.48 Skudai,2026,106805,0.2243,0.6113,0.1405,0.0929,0.189,0.0673,0.2151,44.0,johor
N.49 Kota Iskandar,2026,132579,0.497,0.3408,0.1403,0.2564,0.1454,0.1165,0.3226,37.0,johor
N.50 Bukit Permai,2026,44819,0.5431,0.3075,0.1304,0.2648,0.1244,0.1469,0.3227,38.0,johor
N.51 Bukit Batu,2026,49963,0.3776,0.5219,0.0846,0.1963,0.1912,0.0945,0.2886,39.0,johor
N.52 Senai,2026,66635,0.2946,0.551,0.1276,0.1441,0.1633,0.079,0.2395,43.0,johor
N.53 Benut,2026,28798,0.8129,0.1615,0.0015,0.3068,0.0436,0.2781,0.225,42.0,johor
N.54 Pulai Sebatang,2026,47651,0.6262,0.3328,0.0145,0.2464,0.0872,0.205,0.2177,43.0,johor
N.55 Pekan Nanas,2026,37556,0.5618,0.41,0.0112,0.2424,0.1219,0.1713,0.2433,42.0,johor
N.56 Kukup,2026,34968,0.6045,0.3677,0.0088,0.2264,0.1032,0.2134,0.2111,43.0,johor
N.01 Chennah,2023,14554,0.4628,0.4428,0.0205,0.1661,0.0871,0.162,0.1862,45.0,neg_sembilan
N.02 Pertang,2023,12897,0.6548,0.1996,0.0668,0.2137,0.0468,0.2153,0.1925,43.0,neg_sembilan
N.03 Sungai Lui,2023,20206,0.7907,0.057,0.0861,0.2972,0.0163,0.2062,0.2428,39.0,neg_sembilan
N.04 Klawang,2023,13163,0.6543,0.2808,0.0382,0.2453,0.0805,0.2456,0.2276,43.0,neg_sembilan
N.05 Serting,2023,30287,0.7767,0.1251,0.0865,0.3487,0.0381,0.2187,0.2391,38.0,neg_sembilan
N.06 Palong,2023,23494,0.9211,0.0163,0.0584,0.3335,0.0029,0.2576,0.1849,39.0,neg_sembilan
N.07 Jeram Padang,2023,16332,0.5109,0.097,0.3366,0.1965,0.0269,0.1523,0.233,41.0,neg_sembilan
N.08 Bahau,2023,25769,0.2957,0.5894,0.1057,0.124,0.1718,0.0958,0.2257,43.0,neg_sembilan
N.09 Lenggeng,2023,27386,0.7567,0.1498,0.0532,0.3458,0.0392,0.2373,0.289,39.0,neg_sembilan
N.10 Nilai,2023,42168,0.4341,0.3193,0.2162,0.2449,0.0966,0.0894,0.3282,38.0,neg_sembilan
N.11 Lobak,2023,23193,0.0428,0.7213,0.2153,0.0185,0.1694,0.0125,0.1594,48.0,neg_sembilan
N.12 Temiang,2023,13085,0.3769,0.4465,0.1483,0.144,0.0769,0.1068,0.1582,47.0,neg_sembilan
N.13 Sikamat,2023,32343,0.705,0.1971,0.0792,0.331,0.0639,0.1909,0.293,38.0,neg_sembilan
N.14 Ampangan,2023,20992,0.7218,0.1593,0.0847,0.26,0.0371,0.2738,0.2201,44.0,neg_sembilan
N.15 Juasseh,2023,13408,0.7952,0.1189,0.0539,0.2954,0.035,0.3097,0.2396,42.0,neg_sembilan
N.16 Seri Menanti,2023,10045,0.9161,0.0245,0.0034,0.2825,0.0033,0.3984,0.2089,46.0,neg_sembilan
N.17 Senaling,2023,9886,0.8013,0.1552,0.036,0.2652,0.0241,0.2883,0.183,44.0,neg_sembilan
N.18 Pilah,2023,17692,0.6529,0.2492,0.0876,0.2499,0.0741,0.2443,0.2217,42.0,neg_sembilan
N.19 Johol,2023,12313,0.7283,0.1631,0.0521,0.2518,0.0366,0.2869,0.2116,44.0,neg_sembilan
N.20 Labu,2023,30478,0.7471,0.0791,0.1388,0.3737,0.0218,0.2089,0.3425,37.0,neg_sembilan
N.21 Bukit Kepayang,2023,46229,0.2659,0.4927,0.2216,0.1571,0.1837,0.0512,0.3168,39.0,neg_sembilan
N.22 Rahang,2023,20182,0.2922,0.4491,0.226,0.1179,0.0718,0.0713,0.1457,49.0,neg_sembilan
N.23 Mambau,2023,28952,0.1358,0.5872,0.2567,0.0551,0.1843,0.0396,0.2105,43.0,neg_sembilan
N.24 Seremban Jaya,2023,32290,0.2407,0.4715,0.2721,0.1329,0.1627,0.0552,0.2848,39.0,neg_sembilan
N.25 Paroi,2023,60704,0.776,0.0621,0.1494,0.407,0.0167,0.1905,0.3453,36.0,neg_sembilan
N.26 Chembong,2023,25625,0.8123,0.0638,0.0999,0.3495,0.0158,0.2773,0.2819,40.0,neg_sembilan
N.27 Rantau,2023,32890,0.5517,0.1572,0.2742,0.2286,0.0489,0.1709,0.2656,40.0,neg_sembilan
N.28 Kota,2023,16510,0.8606,0.0669,0.0518,0.2833,0.0139,0.3579,0.2024,44.0,neg_sembilan
N.29 Chuah,2023,15095,0.2372,0.541,0.2142,0.0976,0.146,0.0796,0.1975,45.0,neg_sembilan
N.30 Lukut,2023,26806,0.2295,0.4922,0.262,0.12,0.1749,0.0564,0.2837,39.0,neg_sembilan
N.31 Bagan Pinang,2023,27790,0.748,0.0682,0.0999,0.4538,0.0196,0.1375,0.4479,32.0,neg_sembilan
N.32 Linggi,2023,20696,0.6096,0.1724,0.1764,0.2436,0.0394,0.1724,0.2195,41.0,neg_sembilan
N.33 Sri Tanjung,2023,19431,0.3744,0.3142,0.2809,0.16,0.0958,0.118,0.2225,43.0,neg_sembilan
N.34 Gemas,2023,29648,0.8337,0.0774,0.0481,0.3498,0.0215,0.1945,0.2434,38.0,neg_sembilan
N.35 Gemencheh,2023,24602,0.6195,0.2216,0.1516,0.2282,0.0654,0.216,0.2253,42.0,neg_sembilan
N.36 Repah,2023,27284,0.3954,0.4138,0.1759,0.1707,0.1397,0.122,0.24,41.0,neg_sembilan
N.01 Chennah,2026,14422,0.4777,0.4257,0.0202,0.1638,0.0759,0.1709,0.1815,46.0,neg_sembilan
N.02 Pertang,2026,12873,0.6643,0.1927,0.0648,0.2059,0.0392,0.2324,0.1831,44.0,neg_sembilan
N.03 Sungai Lui,2026,19684,0.7978,0.0573,0.0812,0.2645,0.0131,0.2251,0.2041,42.0,neg_sembilan
N.04 Klawang,2026,13355,0.663,0.2735,0.0369,0.2446,0.0735,0.2501,0.2162,44.0,neg_sembilan
N.05 Serting,2026,30599,0.7818,0.1204,0.0867,0.3027,0.0326,0.2186,0.2045,40.0,neg_sembilan
N.06 Palong,2026,23555,0.9232,0.0157,0.0573,0.2849,0.0028,0.2579,0.1665,41.0,neg_sembilan
N.07 Jeram Padang,2026,16590,0.5231,0.0929,0.3315,0.1961,0.0254,0.1602,0.2288,42.0,neg_sembilan
N.08 Bahau,2026,25972,0.3035,0.5799,0.1078,0.1246,0.1596,0.0993,0.2108,44.0,neg_sembilan
N.09 Lenggeng,2026,28880,0.7674,0.1422,0.0519,0.331,0.0355,0.2469,0.2597,40.0,neg_sembilan
N.10 Nilai,2026,45911,0.4638,0.2996,0.2084,0.2641,0.0893,0.0972,0.323,38.0,neg_sembilan
N.11 Lobak,2026,23079,0.0458,0.7152,0.2188,0.019,0.1551,0.0135,0.1494,49.0,neg_sembilan
N.12 Temiang,2026,12947,0.3935,0.4332,0.1459,0.1394,0.0715,0.112,0.1478,47.0,neg_sembilan
N.13 Sikamat,2026,34103,0.7165,0.1896,0.0765,0.3201,0.0579,0.2009,0.2678,40.0,neg_sembilan
N.14 Ampangan,2026,21336,0.7283,0.1557,0.0826,0.2536,0.0321,0.2807,0.1991,44.0,neg_sembilan
N.15 Juasseh,2026,13671,0.8038,0.1135,0.0514,0.2855,0.0294,0.3183,0.2162,43.0,neg_sembilan
N.16 Seri Menanti,2026,10105,0.9193,0.0214,0.0033,0.278,0.0025,0.4154,0.1945,46.0,neg_sembilan
N.17 Senaling,2026,9903,0.8126,0.1448,0.0349,0.2527,0.0213,0.2991,0.1779,45.0,neg_sembilan
N.18 Pilah,2026,18034,0.6564,0.2465,0.0873,0.2355,0.0661,0.2481,0.1997,43.0,neg_sembilan
N.19 Johol,2026,12331,0.737,0.1548,0.0523,0.2453,0.0298,0.3024,0.1918,45.0,neg_sembilan
N.20 Labu,2026,32884,0.762,0.0737,0.1326,0.3817,0.0195,0.2185,0.3269,38.0,neg_sembilan
N.21 Bukit Kepayang,2026,49568,0.2819,0.4831,0.2172,0.1637,0.1774,0.0554,0.3011,39.0,neg_sembilan
N.22 Rahang,2026,19715,0.3072,0.4354,0.2246,0.1157,0.0642,0.0789,0.1378,50.0,neg_sembilan
N.23 Mambau,2026,30346,0.137,0.5874,0.2563,0.0537,0.1678,0.0391,0.1905,44.0,neg_sembilan
N.24 Seremban Jaya,2026,33015,0.2507,0.4548,0.2792,0.1301,0.1482,0.0589,0.2602,40.0,neg_sembilan
N.25 Paroi,2026,64998,0.7868,0.0575,0.1441,0.3968,0.0146,0.2001,0.3167,37.0,neg_sembilan
N.26 Chembong,2026,26547,0.8197,0.0595,0.0974,0.3397,0.0132,0.2838,0.2577,40.0,neg_sembilan
N.27 Rantau,2026,34831,0.5609,0.1529,0.2698,0.2292,0.0458,0.1754,0.2502,41.0,neg_sembilan
N.28 Kota,2026,16744,0.8643,0.0631,0.0523,0.2697,0.0124,0.3654,0.192,45.0,neg_sembilan
N.29 Chuah,2026,15129,0.2477,0.5344,0.2105,0.1019,0.1325,0.0859,0.1855,46.0,neg_sembilan
N.30 Lukut,2026,28219,0.2445,0.4795,0.2605,0.1243,0.1619,0.06,0.2595,40.0,neg_sembilan
N.31 Bagan Pinang,2026,27451,0.7565,0.0687,0.0969,0.4275,0.0198,0.1541,0.3958,34.0,neg_sembilan
N.32 Linggi,2026,20677,0.6176,0.1666,0.1734,0.2283,0.0361,0.1834,0.2005,42.0,neg_sembilan
N.33 Sri Tanjung,2026,19590,0.3871,0.3126,0.2708,0.1586,0.0893,0.1233,0.2005,44.0,neg_sembilan
N.34 Gemas,2026,29600,0.8355,0.0773,0.0489,0.3189,0.0199,0.2028,0.2169,40.0,neg_sembilan
N.35 Gemencheh,2026,24916,0.6255,0.2167,0.1506,0.2242,0.0574,0.2264,0.208,43.0,neg_sembilan
N.36 Repah,2026,27910,0.4013,0.41,0.1741,0.1588,0.1256,0.1266,0.2121,42.0,neg_sembilan
